Transaction_ID,Date,Store_ID,Region,Product_ID,Product_Name,Category,Quantity_Sold,Cost_Price,Selling_Price,Discount,Revenue,Profit,Current_Stock,Reorder_Level,Customer_Type,Payment_Method
T000001,2025-03-13,Store-A,North,P004,Sugar,Grocery,1,45,61.76,3.09,58.67,13.67,119,30,Wholesale,UPI
T000002,2025-11-05,Store-A,South,P002,Bread,Bakery,1,40,47.12,2.36,44.76,4.76,263,30,Wholesale,Card
T000003,2025-01-04,Store-B,West,P018,Detergent,Home Care,14,260,316.19,31.62,3983.98,343.98,419,30,New,UPI
T000004,2025-02-17,Store-D,North,P005,Eggs,Dairy,7,90,129.34,12.93,814.87,184.87,57,30,New,UPI
T000005,2025-03-05,Store-D,North,P020,Notebook,Stationery,9,60,83.53,12.53,639.0,99.0,279,30,Wholesale,UPI
T000006,2025-12-05,Store-B,East,P020,Notebook,Stationery,12,60,79.39,0.0,952.68,232.68,28,30,Regular,Cash
T000007,2025-07-09,Store-C,South,P004,Sugar,Grocery,13,45,55.5,5.55,649.35,64.35,88,30,Wholesale,UPI
T000008,2025-08-25,Store-D,East,P003,Rice,Grocery,20,70,93.83,4.69,1782.8,382.8,88,30,Wholesale,Card
T000009,2025-01-17,Store-C,West,P018,Detergent,Home Care,8,260,352.4,0.0,2819.2,739.2,122,30,New,Cash
T000010,2025-12-02,Store-D,West,P007,Chips,Snacks,19,25,35.32,3.53,604.01,129.01,113,30,Wholesale,UPI
T000011,2025-10-27,Store-D,West,P005,Eggs,Dairy,9,90,107.27,10.73,868.86,58.86,387,30,New,Cash
T000012,2025-02-26,Store-B,South,P005,Eggs,Dairy,17,90,116.82,0.0,1985.94,455.94,445,30,Wholesale,UPI
T000013,2025-05-09,Store-A,North,P020,Notebook,Stationery,3,60,75.93,11.39,193.62,13.62,275,30,Wholesale,Card
T000014,2025-08-21,Store-A,East,P009,Soap,Personal Care,11,30,35.5,5.33,331.87,1.87,85,30,Wholesale,Cash
T000015,2025-11-24,Store-B,South,P017,Salt,Grocery,4,20,28.22,2.82,101.6,21.6,435,30,New,Cash
T000016,2025-01-10,Store-A,East,P018,Detergent,Home Care,17,260,370.64,37.06,5670.86,1250.86,255,30,New,Cash
T000017,2025-09-06,Store-A,South,P002,Bread,Bakery,8,40,56.54,0.0,452.32,132.32,48,30,Regular,Card
T000018,2025-04-19,Store-B,East,P016,Cooking Oil,Grocery,18,180,215.92,32.39,3303.54,63.54,498,30,New,Card
T000019,2025-05-07,Store-B,North,P012,Juice,Beverages,15,80,113.59,17.04,1448.25,248.25,66,30,New,Cash
T000020,2025-02-06,Store-A,South,P019,Tissue,Home Care,18,75,91.43,4.57,1563.48,213.48,8,30,Regular,Cash
T000021,2025-09-06,Store-B,South,P011,Toothpaste,Personal Care,3,95,123.9,12.39,334.53,49.53,347,30,Wholesale,Card
T000022,2025-07-28,Store-B,North,P019,Tissue,Home Care,16,75,91.72,13.76,1247.36,47.36,418,30,Regular,Card
T000023,2025-01-28,Store-A,North,P014,Tea,Beverages,12,140,178.79,26.82,1823.64,143.64,447,30,New,Card
T000024,2025-08-18,Store-B,West,P011,Toothpaste,Personal Care,4,95,116.34,5.82,442.08,62.08,279,30,Regular,UPI
T000025,2025-10-09,Store-A,North,P015,Coffee,Beverages,8,220,310.72,0.0,2485.76,725.76,231,30,Wholesale,Card
T000026,2025-07-28,Store-D,West,P001,Milk,Dairy,3,60,85.67,4.28,244.17,64.17,90,30,Regular,UPI
T000027,2025-08-21,Store-C,West,P002,Bread,Bakery,6,40,50.55,7.58,257.82,17.82,140,30,Wholesale,Card
T000028,2025-01-30,Store-A,East,P018,Detergent,Home Care,16,260,311.07,31.11,4479.36,319.36,116,30,Regular,Cash
T000029,2025-09-18,Store-A,South,P019,Tissue,Home Care,16,75,97.56,4.88,1482.88,282.88,34,30,Regular,Card
T000030,2025-11-01,Store-A,North,P003,Rice,Grocery,8,70,88.98,4.45,676.24,116.24,301,30,New,Card
T000031,2025-12-09,Store-C,South,P019,Tissue,Home Care,19,75,98.01,9.8,1675.99,250.99,109,30,New,UPI
